id,title,clips_count,description,episodes_count,genres,score,seasons_count,company,released_at,rating
5638,Yu-Gi-Oh!,4,"Meet Yugi, an eager young freshman at Domino High School. Yugi and his best friends, Joey, Tristan, and Tea share a love of a cool new game that's sweeping the nation...Duel Monsters! In this card-battling game, players pit different mystical creatures against one another in action-packed, high intensity duels.",236,[Anime~Anime - Tournament|Teen|Videogames],3.674606741,5,4K Media,2011-01-17T20:50:09Z,TV-Y
23200,Elementary,1,ELEMENTARY stars Jonny Lee Miller as detective Sherlock Holmes and Lucy Liu as Dr. Joan Watson in a modern-day drama about a crime-solving duo that cracks the NYPD’s most impossible cases.,120,[Drama~Crime and Courtroom Drama],4.574669187,5,CBS,,TV-14
969,America's Got Talent,171,America votes in the ultimate talent show to determine which act deserves a million dollars.,12,[Reality and Game Shows~Competition|Teen],3.335469442,1,NBC,2016-12-16T20:02:48Z,TV-PG
12844,Sabrina: The Teenage Witch,0,"Sabrina is a normal teenager, except for one thing -- she's a witch! Guided by her aunts, who come from a long line of witches, and Salem, a mischievous warlock doing penance as a black cat, Sabrina continually struggles to harness her powers while wittingly wreaking havoc on friends and foes alike. While struggling through the growing pains associated with being a witch and getting into lots of harmless trouble along the way, Sabrina realizes that magic is not quite as easy as pointing your finger.",163,[Family|Comedy|Teen],3.905827813,7,CBS,,TV-G
2458,Shark Tank,18,"From Executive Producer Mark Burnett comes an inventive new reality series you can sink your teeth into. Budding entrepreneurs with big ideas can still make their dreams come true and ABC is about to give them the chance to make it happen. Each week a group of self-made millionaires from all corners of the business world take their own hard earned money and offer everyday people their one true shot at making their dreams a reality. Some will sink, some will swim and some will be eaten alive.",5,[Reality and Game Shows~Real Life Drama|Family],4.278262211,2,ABC,2009-08-10T04:00:07Z,TV-PG
12138,Teenage Mutant Ninja Turtles,44,"Master Splinter allows the Turtles to visit the surface for the first time, where they'll learn the importance of working as a team, uncover the mystery of their existence, and face fearsome enemies such as the Kraang and the ruthless Shredder.",100,[Kids|Animation and Cartoons|Teen],3.779686511,4,Nickelodeon,,TV-Y7
51,Arrested Development,249,"In this critically acclaimed series, Michael Bluth is forced to help his wildly eccentric family pick up the pieces after its wealthy patriarch is arrested and its assets frozen.",53,[Comedy~Sitcoms],4.687838425,3,Fox Television Classics,2007-10-07T06:13:57Z,TV-14
1861,Stargate SG-1,0,"Step through the stargate with SG-1, a team of soldiers and scientists, as they travel instantaneously to other planets to explore, forge alliances, defuse crises, establish trade, investigate ancient mysteries, and defend Earth from such hostile forces as the Goa'uld, the Replicators, and the Ori.",214,[Science Fiction|Family],4.315301436,10,MGM,,TV-14
6901,Fairy Tail,0,"When four young wizards from the most destructive guild in Fiore team up to take jobs, they forge a bond more powerful than any magic and grow stronger with every mission. Whatever you do, don't mess with these friends or you'll get burned!",349,[Anime|International~Japanese],4.520954045,8,Funimation,2011-06-10T15:13:09Z,TV-14
177,Top Chef,1510,"Top Chef offers a fascinating window into the competitive, pressure-filled environment of world class cookery and the restaurant business at the highest level. The series features seventeen aspiring chefs who compete for their shot at culinary stardom and the chance to earn the prestigious title of ""Top Chef.""",203,[Reality and Game Shows~Competition|Food~Cooking Competitions|Family],4.252735987,13,Bravo,2007-08-30T18:10:28Z,TV-14
9673,Scandal,167,"A former media relations consultant to the President, Olivia Pope (Kerry Washington) dedicates her life to protecting and defending the public images of our nation's elite. After leaving the White House, the power consultant opened her own firm, hoping to start a new chapter -- both professionally and personally -- but she can't seem to completely cut ties with her past. Slowly it becomes apparent that her staff, who specialize in fixing the lives of other people, can't quite fix the ones closest at hand -- their own.",5,[Drama],4.711270845,1,ABC,2012-03-24T00:03:18Z,TV-14
11217,Smallville,0,"After a meteor shower bursts from the heavens, raining destruction on the unsuspecting citizens of Smallville, years pass, and the healing process leaves the town's inhabitants with scars and secrets. From the ashes of tragedy, a popular yet awkward teen attempts to decipher the meaning of his life and his clouded past.",218,[Drama~Romance|Science Fiction|Action and Adventure|Teen|Family],4.467553413,10,Warner Bros.,,Not Rated
7281,Grimm,44,"From executive producers David Greenwalt (Angel, Buffy the Vampire Slayer) and Jim Kouf (Angel, National Treasure) comes a new world of police work where all cases have a storybook connection, but not always happily ever after.",5,[Action and Adventure|Drama~Mystery|Horror and Suspense|Family],4.600659796,1,NBC,2016-12-16T20:02:48Z,TV-14
28409,This Is Us,71,"From the writer and director of Crazy, Stupid, Love comes a smart, modern new dramedy that will challenge your everyday presumptions about the people you think you know.",18,[Drama|Comedy~Romantic Comedy],4.795647741,1,NBC,2016-09-08T22:21:22Z,TV-14
4726,MasterChef,146,"A culinary competition series that searches for the best home cooks in America, and through a series of exciting elimination rounds, will turn one of them into a culinary master.",10,[Food~Cooking Competitions|Reality and Game Shows|Health and Wellness|Family],4.217078235,1,FOX,2010-07-23T18:57:09Z,TV-14
15896,The Thundermans,0,"The Thundermans are just like any other American family, but they're superheroes! Watch this super family battle some serious sibling rivalry and eventually work together to use their extraordinary powers to create an ordinary life!",69,[Kids|Teen],4.024492557,3,Nickelodeon,,TV-G
13482,Vikings,0,The name Viking is synonymous with extreme violence and terror. But few people know what it was really like to live in the world of the Viking.  This scripted drama will use real characters from history to humanize the Viking and authentically re-create the Viking Age.,49,[Action and Adventure~Military and War],4.78311932,4,History,,TV-14
4483,Pretty Little Liars,7,"Four estranged best friends are reunited one year after the queen bee of the group, Alison, goes missing. When they begin to receive disturbing messages from someone named “A”, how far will they go to bury their secrets?",5,[Drama|Teen],4.498914555,1,Freeform,2017-03-31T17:00:28Z,TV-14
5725,Jersey Shore,33,"Young adults move into a summer share to indulge in everything Seaside Heights, New Jersey has to offer. Jersey Shore uncovers sometimes surprising, often hilarious and usually over-the-top personalities.",74,[Reality and Game Shows~Real Life Drama|Teen],3.5956574,6,MTV,,TV-14
2440,General Hospital,1052,"Murder, mob wars, and mansions? It’s just all in a day’s work for the residents of Port Charles, New York. With such notable characters as Sonny Corinthos (Maurice Benard) and Jason Morgan (Billy Miller), there’s never a dull moment – especially when you add to the mix their long-time revolving love affairs with Carly (Laura Wright), Samantha (Kelly Monaco), Elizabeth (Rebecca Herbst), Olivia (Lisa LoCicero), and Claudia (Sarah Brown). Couples like Robin and Patrick (Kimberly McCullough and Jason Thompson) and Maxie and Spinelli (Kirsten Storms and Bradford Anderson), and families like the quarreling (but lovable) Quartermaines, even out this dysfunctional town.",10,[Drama~Soap Operas|Drama~Medical Drama],3.819922386,1,ABC,2009-08-08T03:30:11Z,TV-14
24499,Blindspot,49,"A vast international plot explodes when a beautiful Jane Doe is discovered naked in Times Square, completely covered in mysterious, intricate tattoos with no memory of who she is or how she got there. But there's one tattoo that is impossible to miss: the name of FBI agent Kurt Weller, emblazoned across her back. ""Jane,"" Agent Weller and the rest of the FBI quickly realize that each mark on her body is a crime to solve, leading them closer to the truth about her identity and the mysteries to be revealed. From Executive Producer Greg Berlanti (""The Mysteries of Laura,"" ""The Flash,"" ""Arrow"").",45,[Drama~Crime and Courtroom Drama|Drama~Mystery],4.522517065,2,NBC,2015-08-19T21:36:15Z,TV-14
6375,Happy Endings,139,"Forget who gets to keep the ring, when a couple splits, the real question is, who gets to keep the friends? In this modern comedy, a couple's break up will complicate all of their friends' lives and make everyone question their choices. When life throws you for a curve, hold on tight to the people you love.",57,[Comedy],4.354798761,3,Sony Pictures Television,,TV-14
12666,Catfish: The TV Show,78,Catfish:  The TV Show brings together couples who've interacted solely through LCD screens.  Over the course of months they've supposedly fallen in love -- but what will happen when they meet in real life for the first time?,77,[Reality and Game Shows~Real Life Drama|Teen],4.198490154,5,MTV,2012-12-03T09:00:08Z,TV-14
2526,Jimmy Kimmel Live,1605,"ABC’s distinctive late-night talk show features a diverse lineup of guests, including celebrities, athletes, comedians, politicians and human interest subjects. Along with a light-hearted and recognizable cast of characters, a hip house band and comedy bits in host Jimmy Kimmel’s inimitable style, the show additionally offers one of the funniest, freshest monologues on television today, drawing from all forms of topical media.",16,[News and Information~Talk and Interview|Comedy~Late Night Comedy],3.296685846,1,ABC,2009-08-27T01:20:11Z,TV-14
2295,The Cleveland Show,0,"Everyone's favorite soft-spoken neighbor Cleveland Brown moves to his hometown in Virginia with his 14-year old son, Cleveland JR. Many years ago, Cleveland was a high school student madly in love with a beautiful girl named Donna. Much to his dismay, his love went unrequited, and Donna wound up marrying another man. Cleveland once told Donna he would always love her, and if this man ever done her wrong, he'd be there when she called. Well, this man done her wrong.",88,[Animation and Cartoons~Primetime Animation|Comedy~Sitcoms],3.622010262,4,FOX,,TV-14
183,Project Runway,163,"Project Runway is a reality competition where fashion designers fight for their big break in the fashion industry.  Designers compete in weekly challenges, presenting their work on the runway.",88,[Health and Wellness|Reality and Game Shows~Competition|Lifestyle~Fashion and Beauty|Teen|Family],3.884819104,6,Lifetime,2015-08-10T16:42:14Z,TV-PG
12745,Survivor,0,Sixteen castaways sign up to be marooned on a tropical island in the ultimate battle for survival -- and a $1 million prize.,319,[Teen|Reality and Game Shows~Competition|Family],4.002237913,21,CBS,,TV-14
20608,Homeland,11,"HOMELAND is an edge-of-your-seat sensation. CIA officer Carrie Mathison is volatile and unpredictable. With the help of her mentor Saul Berenson, she fearlessly risks everything, including her sanity, at every turn.",72,[Drama],4.69207411,6,SHOWTIME,,TV-MA
7421,Awkward.,93,"From a secret relationship with a popular guy, to being undermined by a mean girl, & parents who just don't get it - Jenna's misfortune will eventually serve as the catalyst for amazing change, but it's not without some missteps and mishaps along the way.",89,[Comedy|Teen],4.508175676,5,MTV,,TV-14
